Year,Sex,age_group,percentage
1990,M,0.4,4.1
1990,F,0.4,3.7
1990,M,5.9,4.7
1990,F,5.9,4.4
1990,M,10.14,4.7
1990,F,10.14,4.5
1990,M,15.19,5.3
1990,F,15.19,5.1
1990,M,20.24,5.3
1990,F,20.24,4.9
1990,M,25.29,5.1
1990,F,25.29,5.1
1990,M,30.34,4.9
1990,F,30.34,4.7
1990,M,35.39,3.7
1990,F,35.39,3.5
1990,M,40.44,3
1990,F,40.44,2.8
1990,M,45.49,2.5
1990,F,45.49,2.5
1990,M,50.54,2.3
1990,F,50.54,2.3
1990,M,55.59,1.7
1990,F,55.59,1.9
1990,M,60.64,1.1
1990,F,60.64,1.5
1990,M,65.69,0.9
1990,F,65.69,1.2
1990,M,70.74,0.5
1990,F,70.74,0.8
1990,M,75.79,0.3
1990,F,75.79,0.6
1990,M,80.84,0.1
1990,F,80.84,0.3
1990,M,85.89,0
1990,F,85.89,0.1
1990,M,90.94,0
1990,F,90.94,0
1990,M,95.99,0
1990,F,95.99,0
1990,M,100,0
1990,F,100,0
