Age,M,F,male_percent,female_percent,Year
0-4,1706435,1540657,8.49,7.66,1950
5-9,1454353,1327965,7.23,6.61,1950
10-14,1401978,1198524,6.97,5.96,1950
15-19,910188,974101,4.53,4.85,1950
20-24,700437,831286,3.48,4.13,1950
25-29,751072,737221,3.74,3.67,1950
30-34,654401,608151,3.26,3.03,1950
35-39,602633,550099,3,2.74,1950
40-44,575420,479860,2.86,2.39,1950
45-49,400202,371336,1.99,1.85,1950
50-54,365221,356928,1.82,1.78,1950
55-59,281170,306486,1.4,1.52,1950
60-64,215797,250549,1.07,1.25,1950
65-69,121630,147410,0.61,0.73,1950
70-74,66145,88763,0.33,0.44,1950
75-79,23585,34558,0.12,0.17,1950
80-84,19137,31190,0.1,0.16,1950
85-89,4959,9549,0.02,0.05,1950
90-94,1058,2262,0.01,0.01,1950
95-99,357,725,0,0,1950
100+,57,145,0,0,1950
0-4,1706435,1540657,8.49,7.66,1960
5-9,1454353,1327965,7.23,6.61,1960
10-14,1401978,1198524,6.97,5.96,1960
15-19,910188,974101,4.53,4.85,1960
20-24,700437,831286,3.48,4.13,1960
25-29,751072,737221,3.74,3.67,1960
30-34,654401,608151,3.26,3.03,1960
35-39,602633,550099,3,2.74,1960
40-44,575420,479860,2.86,2.39,1960
45-49,400202,371336,1.99,1.85,1960
50-54,365221,356928,1.82,1.78,1960
55-59,281170,306486,1.4,1.52,1960
60-64,215797,250549,1.07,1.25,1960
65-69,121630,147410,0.61,0.73,1960
70-74,66145,88763,0.33,0.44,1960
75-79,23585,34558,0.12,0.17,1960
80-84,19137,31190,0.1,0.16,1960
85-89,4959,9549,0.02,0.05,1960
90-94,1058,2262,0.01,0.01,1960
95-99,357,725,0,0,1960
100+,57,145,0,0,1960
0-4,1706435,1540657,8.49,7.66,1970
5-9,1454353,1327965,7.23,6.61,1970
10-14,1401978,1198524,6.97,5.96,1970
15-19,910188,974101,4.53,4.85,1970
20-24,700437,831286,3.48,4.13,1970
25-29,751072,737221,3.74,3.67,1970
30-34,654401,608151,3.26,3.03,1970
35-39,602633,550099,3,2.74,1970
40-44,575420,479860,2.86,2.39,1970
45-49,400202,371336,1.99,1.85,1970
50-54,365221,356928,1.82,1.78,1970
55-59,281170,306486,1.4,1.52,1970
60-64,215797,250549,1.07,1.25,1970
65-69,121630,147410,0.61,0.73,1970
70-74,66145,88763,0.33,0.44,1970
75-79,23585,34558,0.12,0.17,1970
80-84,19137,31190,0.1,0.16,1970
85-89,4959,9549,0.02,0.05,1970
90-94,1058,2262,0.01,0.01,1970
95-99,357,725,0,0,1970
100+,57,145,0,0,1970
0-4,1706435,1540657,8.49,7.66,1980
5-9,1454353,1327965,7.23,6.61,1980
10-14,1401978,1198524,6.97,5.96,1980
15-19,910188,974101,4.53,4.85,1980
20-24,700437,831286,3.48,4.13,1980
25-29,751072,737221,3.74,3.67,1980
30-34,654401,608151,3.26,3.03,1980
35-39,602633,550099,3,2.74,1980
40-44,575420,479860,2.86,2.39,1980
45-49,400202,371336,1.99,1.85,1980
50-54,365221,356928,1.82,1.78,1980
55-59,281170,306486,1.4,1.52,1980
60-64,215797,250549,1.07,1.25,1980
65-69,121630,147410,0.61,0.73,1980
70-74,66145,88763,0.33,0.44,1980
75-79,23585,34558,0.12,0.17,1980
80-84,19137,31190,0.1,0.16,1980
85-89,4959,9549,0.02,0.05,1980
90-94,1058,2262,0.01,0.01,1980
95-99,357,725,0,0,1980
100+,57,145,0,0,1980
0-4,1706435,1540657,8.49,7.66,1990
5-9,1454353,1327965,7.23,6.61,1990
10-14,1401978,1198524,6.97,5.96,1990
15-19,910188,974101,4.53,4.85,1990
20-24,700437,831286,3.48,4.13,1990
25-29,751072,737221,3.74,3.67,1990
30-34,654401,608151,3.26,3.03,1990
35-39,602633,550099,3,2.74,1990
40-44,575420,479860,2.86,2.39,1990
45-49,400202,371336,1.99,1.85,1990
50-54,365221,356928,1.82,1.78,1990
55-59,281170,306486,1.4,1.52,1990
60-64,215797,250549,1.07,1.25,1990
65-69,121630,147410,0.61,0.73,1990
70-74,66145,88763,0.33,0.44,1990
75-79,23585,34558,0.12,0.17,1990
80-84,19137,31190,0.1,0.16,1990
85-89,4959,9549,0.02,0.05,1990
90-94,1058,2262,0.01,0.01,1990
95-99,357,725,0,0,1990
100+,57,145,0,0,1990
0-4,1706435,1540657,8.49,7.66,2000
5-9,1454353,1327965,7.23,6.61,2000
10-14,1401978,1198524,6.97,5.96,2000
15-19,910188,974101,4.53,4.85,2000
20-24,700437,831286,3.48,4.13,2000
25-29,751072,737221,3.74,3.67,2000
30-34,654401,608151,3.26,3.03,2000
35-39,602633,550099,3,2.74,2000
40-44,575420,479860,2.86,2.39,2000
45-49,400202,371336,1.99,1.85,2000
50-54,365221,356928,1.82,1.78,2000
55-59,281170,306486,1.4,1.52,2000
60-64,215797,250549,1.07,1.25,2000
65-69,121630,147410,0.61,0.73,2000
70-74,66145,88763,0.33,0.44,2000
75-79,23585,34558,0.12,0.17,2000
80-84,19137,31190,0.1,0.16,2000
85-89,4959,9549,0.02,0.05,2000
90-94,1058,2262,0.01,0.01,2000
95-99,357,725,0,0,2000
100+,57,145,0,0,2000
0-4,1706435,1540657,8.49,7.66,2010
5-9,1454353,1327965,7.23,6.61,2010
10-14,1401978,1198524,6.97,5.96,2010
15-19,910188,974101,4.53,4.85,2010
20-24,700437,831286,3.48,4.13,2010
25-29,751072,737221,3.74,3.67,2010
30-34,654401,608151,3.26,3.03,2010
35-39,602633,550099,3,2.74,2010
40-44,575420,479860,2.86,2.39,2010
45-49,400202,371336,1.99,1.85,2010
50-54,365221,356928,1.82,1.78,2010
55-59,281170,306486,1.4,1.52,2010
60-64,215797,250549,1.07,1.25,2010
65-69,121630,147410,0.61,0.73,2010
70-74,66145,88763,0.33,0.44,2010
75-79,23585,34558,0.12,0.17,2010
80-84,19137,31190,0.1,0.16,2010
85-89,4959,9549,0.02,0.05,2010
90-94,1058,2262,0.01,0.01,2010
95-99,357,725,0,0,2010
100+,57,145,0,0,2010
0-4,1706435,1540657,8.49,7.66,2020
5-9,1454353,1327965,7.23,6.61,2020
10-14,1401978,1198524,6.97,5.96,2020
15-19,910188,974101,4.53,4.85,2020
20-24,700437,831286,3.48,4.13,2020
25-29,751072,737221,3.74,3.67,2020
30-34,654401,608151,3.26,3.03,2020
35-39,602633,550099,3,2.74,2020
40-44,575420,479860,2.86,2.39,2020
45-49,400202,371336,1.99,1.85,2020
50-54,365221,356928,1.82,1.78,2020
55-59,281170,306486,1.4,1.52,2020
60-64,215797,250549,1.07,1.25,2020
65-69,121630,147410,0.61,0.73,2020
70-74,66145,88763,0.33,0.44,2020
75-79,23585,34558,0.12,0.17,2020
80-84,19137,31190,0.1,0.16,2020
85-89,4959,9549,0.02,0.05,2020
90-94,1058,2262,0.01,0.01,2020
95-99,357,725,0,0,2020
100+,57,145,0,0,2020
0-4,1706435,1540657,8.49,7.66,2030
5-9,1454353,1327965,7.23,6.61,2030
10-14,1401978,1198524,6.97,5.96,2030
15-19,910188,974101,4.53,4.85,2030
20-24,700437,831286,3.48,4.13,2030
25-29,751072,737221,3.74,3.67,2030
30-34,654401,608151,3.26,3.03,2030
35-39,602633,550099,3,2.74,2030
40-44,575420,479860,2.86,2.39,2030
45-49,400202,371336,1.99,1.85,2030
50-54,365221,356928,1.82,1.78,2030
55-59,281170,306486,1.4,1.52,2030
60-64,215797,250549,1.07,1.25,2030
65-69,121630,147410,0.61,0.73,2030
70-74,66145,88763,0.33,0.44,2030
75-79,23585,34558,0.12,0.17,2030
80-84,19137,31190,0.1,0.16,2030
85-89,4959,9549,0.02,0.05,2030
90-94,1058,2262,0.01,0.01,2030
95-99,357,725,0,0,2030
100+,57,145,0,0,2030
0-4,1706435,1540657,8.49,7.66,2040
5-9,1454353,1327965,7.23,6.61,2040
10-14,1401978,1198524,6.97,5.96,2040
15-19,910188,974101,4.53,4.85,2040
20-24,700437,831286,3.48,4.13,2040
25-29,751072,737221,3.74,3.67,2040
30-34,654401,608151,3.26,3.03,2040
35-39,602633,550099,3,2.74,2040
40-44,575420,479860,2.86,2.39,2040
45-49,400202,371336,1.99,1.85,2040
50-54,365221,356928,1.82,1.78,2040
55-59,281170,306486,1.4,1.52,2040
60-64,215797,250549,1.07,1.25,2040
65-69,121630,147410,0.61,0.73,2040
70-74,66145,88763,0.33,0.44,2040
75-79,23585,34558,0.12,0.17,2040
80-84,19137,31190,0.1,0.16,2040
85-89,4959,9549,0.02,0.05,2040
90-94,1058,2262,0.01,0.01,2040
95-99,357,725,0,0,2040
100+,57,145,0,0,2040
